Iteracion,Error
698,65.2888
699,65.1251
700,64.9737
701,64.8144
702,64.6648
703,64.5006
704,64.3504
705,64.1864
706,64.0349
707,63.8686
708,63.7017
709,63.5155
710,63.3218
711,63.1168
712,62.9054
713,62.6927
714,62.469
715,62.2491
716,62.0124
717,61.7798
718,61.5271
719,61.2763
720,61.0048
721,60.7309
722,60.4397
723,60.1444
724,59.8373
725,59.5211
726,59.1959
727,58.8581
728,58.5114
729,58.1479
730,57.7785
731,57.3934
732,57.0032
733,56.5996
734,56.191
735,55.7732
736,55.3493
737,54.9239
738,54.4946
739,54.0707
740,53.6433
741,53.2209
742,52.7929
743,52.3705
744,51.9429
745,51.5163
746,51.0888
747,50.6623
748,50.2419
749,49.822
750,49.4157
751,49.0088
752,48.6175
753,48.2183
754,47.8332
755,47.4362
756,47.0545
757,46.6657
758,46.3013
759,45.9389
760,45.6026
761,45.2727
762,44.9663
763,44.6706
764,44.3975
765,44.1404
766,43.9086
767,43.6968
768,43.5098
769,43.3411
770,43.1909
771,43.0541
772,42.939
773,42.8392
774,42.7669
775,42.713
776,42.6848
777,42.6555
778,42.6224
779,42.5401
780,42.3836
781,42.0816
782,41.5845
783,40.7988
784,39.6606
785,38.0922
786,36.0729
787,33.6192
788,30.8301
789,27.8604
790,24.9121
791,22.1973
792,19.9059
793,18.1916
794,17.1565
795,16.8601
796,17.3022
797,18.4111
798,19.9876
799,21.6971
800,23.1279
801,24.0023
802,24.3693
803,24.6089
804,25.2116
805,26.5332
806,28.6408
807,31.2236
808,33.6399
809,35.208
810,35.6735
811,35.4158
812,35.1566
813,35.4832
814,36.5227
815,37.8757
816,38.7734
817,38.6299
818,37.5366
819,36.251
820,35.5123
821,35.5311
822,35.82
823,35.6288
824,34.5958
825,33.1453
826,31.9989
827,31.5427
828,31.5379
829,31.3837
830,30.6525
831,29.528
832,28.5864
833,28.235
834,28.3502
835,28.3895
836,27.9109
837,27.0839
838,26.4916
839,26.4946
840,26.8397
841,26.9282
842,26.478
843,25.9009
844,25.7594
845,26.1352
846,26.496
847,26.3488
848,25.8612
849,25.6627
850,25.986
851,26.4073
852,26.3619
853,25.9513
854,25.7599
855,26.0537
856,26.4306
857,26.3881
858,26.0144
859,25.8557
860,26.1217
861,26.426
862,26.3135
863,25.9547
864,25.8672
865,26.1684
866,26.3814
867,26.1588
868,25.8048
869,25.8362
870,26.1616
871,26.2282
872,25.8649
873,25.6213
874,25.8389
875,26.1201
876,25.9408
877,25.5797
878,25.5939
879,25.9114
880,25.9584
881,25.6457
882,25.464
883,25.6673
884,25.8718
885,25.6912
886,25.3746
887,25.4158
888,25.6866
889,25.6248
890,25.2435
891,25.1534
892,25.4033
893,25.4029
894,25.0425
895,24.8941
896,25.0783
897,25.1176
898,24.8286
899,24.6146
900,24.6974
901,24.7685
902,24.5083
903,24.2071
904,24.2558
905,24.3629
906,24.0816
907,23.7609
908,23.8206
909,23.8693
910,23.5539
911,23.2702
912,23.2923
913,23.2875
914,23.0264
915,22.7599
916,22.7477
917,22.7686
918,22.4931
919,22.1885
920,22.2191
921,22.2099
922,21.8626
923,21.6451
924,21.7197
925,21.6191
926,21.3134
927,21.176
928,21.2053
929,21.0947
930,20.8212
931,20.702
932,20.7806
933,20.6389
934,20.3505
935,20.3545
936,20.4216
937,20.1861
938,20.0177
939,20.0861
940,20.0515
941,19.8389
942,19.7295
943,19.7764
944,19.7297
945,19.5131
946,19.4784
947,19.5892
948,19.4477
949,19.2788
950,19.3845
951,19.3929
952,19.2174
953,19.1942
954,19.2804
955,19.2306
956,19.1084
957,19.1346
958,19.2347
959,19.1229
960,19.0334
961,19.1737
962,19.1621
963,19.0101
964,19.0909
965,19.1775
966,19.0838
967,19.0572
968,19.1581
969,19.1802
970,19.0746
971,19.1
972,19.2251
973,19.1291
974,19.0533
975,19.1998
976,19.169
977,19.0392
978,19.1113
979,19.1642
980,19.0614
981,19.0235
982,19.108
983,19.0926
984,18.9509
985,19.0099
986,19.0747
987,18.9071
988,18.8924
989,18.9915
990,18.866
991,18.7721
992,18.8156
993,18.7773
994,18.6222
995,18.5743
996,18.6131
997,18.4587
998,18.3276
999,18.4022
1000,18.2774
1001,18.1081
1002,18.1353
1003,18.0606
1004,17.8874
1005,17.8218
1006,17.8008
1007,17.6552
1008,17.501
1009,17.5195
1010,17.3967
1011,17.1916
1012,17.2015
1013,17.0929
1014,16.8997
1015,16.8533
1016,16.7829
1017,16.6277
1018,16.5087
1019,16.4805
1020,16.3496
1021,16.1708
1022,16.1741
1023,16.0423
1024,15.8615
1025,15.8395
1026,15.7169
1027,15.5546
1028,15.4721
1029,15.3903
1030,15.2472
1031,15.1137
1032,15.0906
1033,14.9297
1034,14.7905
1035,14.7787
1036,14.6132
1037,14.4985
1038,14.4561
1039,14.3338
1040,14.215
1041,14.1317
1042,14.0621
1043,13.8939
1044,13.8127
1045,13.7658
1046,13.5754
1047,13.5262
1048,13.4559
1049,13.2979
1050,13.2246
1051,13.1429
1052,13.0274
1053,12.9017
1054,12.8582
1055,12.7454
1056,12.5885
1057,12.5741
1058,12.4236
1059,12.2948
1060,12.2525
1061,12.1251
1062,12.0154
1063,11.9334
1064,11.8589
1065,11.7078
1066,11.6318
1067,11.5744
1068,11.3942
1069,11.3476
1070,11.2502
1071,11.0907
1072,11.0151
1073,10.909
1074,10.7863
1075,10.6651
1076,10.612
1077,10.4649
1078,10.3469
1079,10.3059
1080,10.1354
1081,10.0554
1082,9.98039
1083,9.84876
1084,9.75434
1085,9.66726
1086,9.56687
1087,9.42447
1088,9.38084
1089,9.25309
1090,9.13115
1091,9.09078
1092,8.94771
1093,8.8614
1094,8.78004
1095,8.67988
1096,8.572
1097,8.49386
1098,8.41193
1099,8.27053
1100,8.22999
1101,8.11214
1102,8.00484
1103,7.95561
1104,7.83879
1105,7.76507
1106,7.68172
1107,7.61488
1108,7.50616
1109,7.45255
1110,7.37745
1111,7.26508
1112,7.23952
1113,7.13002
1114,7.06164
1115,6.99821
1116,6.91066
1117,6.83878
1118,6.76457
1119,6.71317
1120,6.61201
1121,6.58973
1122,6.50466
1123,6.43545
1124,6.40466
1125,6.30783
1126,6.27015
1127,6.19946
1128,6.15036
1129,6.07422
1130,6.03395
1131,5.96888
1132,5.89015
1133,5.87369
1134,5.7731
1135,5.74536
1136,5.6863
1137,5.62453
1138,5.58113
1139,5.52453
1140,5.4793
1141,5.40478
1142,5.38935
1143,5.29547
1144,5.26938
1145,5.21874
1146,5.14593
1147,5.12488
1148,5.05182
1149,5.016
1150,4.95022
1151,4.92422
1152,4.8463
1153,4.8178
1154,4.77108
1155,4.6942
1156,4.68179
1157,4.59611
1158,4.56377
1159,4.50515
1160,4.46094
1161,4.39974
1162,4.35837
1163,4.30976
1164,4.23674
1165,4.22413
1166,4.13612
1167,4.11369
1168,4.05586
1169,4.00502
1170,3.95915
1171,3.90885
1172,3.86377
1173,3.80473
1174,3.78292
1175,3.70665
1176,3.69058
1177,3.62649
1178,3.59244
1179,3.5522
1180,3.50256
1181,3.48157
1182,3.42165
1183,3.39894
1184,3.3469
1185,3.30867
1186,3.25116
1187,3.22302
1188,3.15419
1189,3.11034
1190,3.07423
1191,3.0069
1192,2.98534
1193,2.9422
1194,2.93671
1195,2.89477
1196,2.91151
1197,2.89659
1198,2.86433
1199,2.86846
1200,2.83196
1201,2.79175
1202,2.7498
1203,2.72858
1204,2.66992
1205,2.65
1206,2.60743
1207,2.59508
1208,2.54661
1209,2.51087
1210,2.49364
1211,2.44943
1212,2.42314
1213,2.38854
1214,2.38986
1215,2.33274
1216,2.31869
1217,2.28539
1218,2.26046
1219,2.22881
1220,2.19726
1221,2.19407
1222,2.16015
1223,2.13299
1224,2.10218
1225,2.09392
1226,2.04967
1227,2.03428
1228,2.01211
1229,2.00109
1230,1.96838
1231,1.93854
1232,1.92476
1233,1.90687
1234,1.88576
1235,1.85468
1236,1.85631
1237,1.81897
1238,1.80679
1239,1.77583
1240,1.77524
1241,1.75854
1242,1.7319
1243,1.71411
1244,1.70319
1245,1.698
1246,1.6694
1247,1.66682
1248,1.64474
1249,1.64634
1250,1.61942
1251,1.61168
1252,1.60365
1253,1.59665
1254,1.57608
1255,1.56757
1256,1.56069
1257,1.55195
1258,1.54546
1259,1.52442
1260,1.53065
1261,1.51603
1262,1.51252
1263,1.49443
1264,1.49984
1265,1.48513
1266,1.48761
1267,1.46957
1268,1.46879
1269,1.46902
1270,1.45631
